R2_PINH1,82.53,72.42,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,59.09,26.07,270.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,61.17,26.51,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,39.69,72.09,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,101.41,14.29,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,101.43,11.49,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,28.35,95.29,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,101.37,17.39,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_BOOT,53.07,107.79,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,87.70,76.80,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,68.23,107.44,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,56.01,13.39,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,28.23,107.64,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,152.48,12.34,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,59.25,31.64,270.00,,SJ
TP1,11.32,75.17,0.00,TPTP20R,TP20R
TP10,92.36,31.57,0.00,TPTP20R,TP20R
TP11,92.31,29.17,0.00,TPTP20R,TP20R
TP12,92.21,26.77,0.00,TPTP20R,TP20R
TP13,47.36,13.17,0.00,TPTP20R,TP20R
TP14,151.01,56.17,0.00,TPTP20R,TP20R
TP15,73.66,67.17,0.00,TPTP20R,TP20R
TP16,85.69,96.83,180.00,TPTP20R,TP20R
TP17,47.36,10.04,0.00,TPTP20R,TP20R
TP2,13.45,75.17,0.00,TPTP20R,TP20R
TP3,151.37,63.17,0.00,TPTP20R,TP20R
TP4,85.71,99.83,180.00,TPTP20R,TP20R
TP5,92.49,35.25,0.00,TPTP20R,TP20R
TP6,23.75,88.41,90.00,TPTP20R,TP20R
TP7,23.75,85.33,90.00,TPTP20R,TP20R
TP8,23.75,82.25,90.00,TPTP20R,TP20R
TP9,92.17,24.25,0.00,TPTP20R,TP20R
U$1,24.04,108.90,180.00,RESET_BUTTON,MYBUTTON
U$2,48.99,108.90,180.00,BOOT_BUTTON,MYBUTTON
U$3,64.04,108.90,180.00,CHANGE_BUTTON,MYBUTTON
U1,42.90,61.56,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U10,161.47,39.99,90.00,MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
U2,16.05,62.20,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,83.10,64.05,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,144.33,60.42,0.00,MAX17048G+T10,SON50P200X200X80-9N
